"TransactionID","itemDescription"
"1808_21-07-2015","tropical fruit"
"2552_05-01-2015","whole milk"
"2300_19-09-2015","pip fruit"
"1187_12-12-2015","other vegetables"
"3037_01-02-2015","whole milk"
"4941_14-02-2015","rolls/buns"
"4501_08-05-2015","other vegetables"
"3803_23-12-2015","pot plants"
"2762_20-03-2015","whole milk"
"4119_12-02-2015","tropical fruit"
"1340_24-02-2015","citrus fruit"
"2193_14-04-2015","beef"
"1997_21-07-2015","frankfurter"
"4546_03-09-2015","chicken"
"4736_21-07-2015","butter"
"1959_30-03-2015","fruit/vegetable juice"
"1974_03-05-2015","packaged fruit/vegetables"
"2421_02-09-2015","chocolate"
"1513_03-08-2015","specialty bar"
"1905_07-07-2015","other vegetables"
"2810_08-09-2015","butter milk"
"2867_12-11-2015","whole milk"
"3962_18-09-2015","tropical fruit"
"1088_30-11-2015","tropical fruit"
"4976_17-07-2015","bottled water"
"4056_12-06-2015","yogurt"
"3611_13-02-2015","sausage"
"1420_14-01-2015","other vegetables"
"4286_08-03-2015","brown bread"
"4918_27-01-2015","yogurt"
"4783_22-10-2015","hamburger meat"
"3709_26-10-2015","root vegetables"
"4289_08-10-2015","pork"
"1559_03-10-2015","beef"
"2900_11-04-2015","pastry"
"1905_21-02-2015","fruit/vegetable juice"
"3527_29-09-2015","canned beer"
"1495_09-01-2015","root vegetables"
"3558_03-04-2015","citrus fruit"
"3128_20-04-2015","sausage"
"1863_04-08-2015","tropical fruit"
"3841_19-07-2015","berries"
"3903_06-10-2015","canned beer"
"2658_16-10-2015","butter milk"
"4272_06-06-2015","coffee"
"1120_26-09-2015","pastry"
"2676_15-08-2015","rolls/buns"
"1697_21-05-2015","misc. beverages"
"2507_25-08-2015","root vegetables"
"4620_11-03-2015","sausage"
"3365_01-02-2015","canned beer"
"2978_05-06-2015","ham"
"2910_28-07-2015","turkey"
"1061_05-09-2015","whole milk"
"3276_03-04-2015","whole milk"
"1326_19-06-2015","packaged fruit/vegetables"
"3023_28-07-2015","rolls/buns"
"2185_11-10-2015","ham"
"3552_16-06-2015","rolls/buns"
"1967_20-01-2015","other vegetables"
"4708_20-03-2015","sausage"
"2874_15-02-2015","sausage"
"4177_13-04-2015","frankfurter"
"1663_07-02-2015","rolls/buns"
"2632_02-03-2015","whole milk"
"1377_14-03-2015","curd cheese"
"4162_22-12-2015","red/blush wine"
"2270_01-07-2015","sausage"
"4829_03-11-2015","tropical fruit"
"3811_14-04-2015","red/blush wine"
"4766_29-09-2015","whole milk"
"2436_12-04-2015","frankfurter"
"3860_05-05-2015","whole milk"
"4875_12-05-2015","frozen potato products"
"1587_01-07-2015","other vegetables"
"4038_08-07-2015","citrus fruit"
"4750_21-09-2015","flour"
"1199_10-12-2015","sugar"
"1603_30-09-2015","frozen meals"
"3111_31-01-2015","chocolate"
"3894_13-12-2015","root vegetables"
"1456_18-09-2015","root vegetables"
"2022_04-03-2015","herbs"
"2505_30-11-2015","bottled water"
"4851_20-12-2015","sausage"
"4293_04-08-2015","coffee"
"2775_06-11-2015","pork"
"3693_18-02-2015","berries"
"1202_22-07-2015","soda"
"3699_23-08-2015","berries"
"4152_15-04-2015","fruit/vegetable juice"
"4155_26-01-2015","citrus fruit"
"4010_29-12-2015","pork"
"4389_20-10-2015","detergent"
"3746_17-08-2015","grapes"
"2560_17-05-2015","sausage"
"1503_25-07-2015","chicken"
"2555_23-12-2015","whole milk"
"3645_12-12-2015","citrus fruit"
"3886_11-09-2015","soda"
"2932_20-03-2015","sausage"
"1711_18-06-2015","frankfurter"
"4291_08-12-2015","sausage"
"1143_25-04-2015","soda"
"4564_08-07-2015","rolls/buns"
"3337_14-05-2015","beef"
"4931_04-05-2015","whole milk"
"2623_10-10-2015","processed cheese"
"4581_03-04-2015","tropical fruit"
"2635_11-06-2015","frankfurter"
"1095_30-10-2015","packaged fruit/vegetables"
"2990_23-05-2015","whole milk"
"2426_05-06-2015","berries"
"4555_07-11-2015","citrus fruit"
"3635_04-09-2015","tropical fruit"
"3058_18-05-2015","hamburger meat"
"4391_26-03-2015","hamburger meat"
"1306_23-06-2015","whole milk"
"1024_10-08-2015","fish"
"1295_23-07-2015","frankfurter"
"1661_01-06-2015","packaged fruit/vegetables"
"4591_15-05-2015","pastry"
"3169_14-06-2015","other vegetables"
"3915_21-05-2015","misc. beverages"
"1127_14-01-2015","frankfurter"
"4828_08-08-2015","sparkling wine"
"3683_10-06-2015","specialty bar"
"1971_18-09-2015","sausage"
"3014_11-11-2015","curd cheese"
"3779_15-09-2015","frankfurter"
"2489_04-05-2015","whole milk"
"3564_27-06-2015","newspapers"
"4092_30-09-2015","berries"
"3221_13-01-2015","curd"
"1279_06-09-2015","tropical fruit"
"2581_22-08-2015","soda"
"2295_25-02-2015","rolls/buns"
"4760_22-02-2015","canned beer"
"3649_16-01-2015","canned beer"
"1075_19-11-2015","frankfurter"
"3987_19-08-2015","other vegetables"
"4106_25-08-2015","whole milk"
"4338_24-06-2015","whole milk"
"4166_06-11-2015","citrus fruit"
"1211_10-03-2015","frankfurter"
"3954_21-01-2015","frankfurter"
"3928_18-07-2015","butter milk"
"3827_30-09-2015","hamburger meat"
"4699_08-02-2015","pasta"
"4747_08-06-2015","other vegetables"
"3028_09-06-2015","sausage"
"2851_16-03-2015","rolls/buns"
"4417_25-02-2015","grapes"
"3822_07-03-2015","root vegetables"
"2288_31-05-2015","coffee"
"2184_30-06-2015","popcorn"
"4554_27-08-2015","whole milk"
"3361_05-03-2015","tropical fruit"
"2999_17-04-2015","beef"
"2614_25-06-2015","whole milk"
"4064_05-06-2015","frankfurter"
"3567_04-10-2015","tropical fruit"
"2587_07-05-2015","canned beer"
"3783_17-06-2015","finished products"
"1923_14-02-2015","beverages"
"4835_19-02-2015","hamburger meat"
"1514_24-08-2015","whole milk"
"3154_22-06-2015","finished products"
"1313_25-12-2015","other vegetables"
"2794_18-07-2015","ham"
"2359_09-04-2015","other vegetables"
"2238_09-03-2015","curd"
"3795_17-01-2015","bottled beer"
"3724_26-11-2015","curd"
"1152_05-03-2015","whole milk"
"4559_16-03-2015","whole milk"
"3922_27-02-2015","dessert"
"1709_22-04-2015","sausage"
"2219_17-04-2015","other vegetables"
"2206_17-10-2015","ham"
"1752_06-04-2015","other vegetables"
"3942_10-11-2015","other vegetables"
"3296_17-08-2015","soda"
"2257_05-02-2015","herbs"
"4313_28-07-2015","frankfurter"
"2001_21-08-2015","rolls/buns"
"2449_08-07-2015","curd"
"4914_12-04-2015","frankfurter"
"2764_24-07-2015","other vegetables"
"4187_09-05-2015","dog food"
"1392_20-04-2015","specialty bar"
"3427_28-04-2015","curd"
"1411_20-02-2015","frankfurter"
"3390_14-11-2015","soda"
"4787_01-08-2015","beef"
"3310_17-01-2015","canned beer"
"1782_10-10-2015","pork"
"3375_26-04-2015","frankfurter"
"2760_07-01-2015","sausage"
"4249_13-09-2015","canned beer"
"2904_06-06-2015","specialty chocolate"
"4090_26-02-2015","curd"
"3060_05-07-2015","canned beer"
"3768_07-10-2015","whole milk"
"1232_21-01-2015","rolls/buns"
"1360_23-10-2015","pork"
"1107_01-10-2015","citrus fruit"
"2865_04-11-2015","pot plants"
"2958_14-06-2015","rolls/buns"
"2448_12-07-2015","butter"
"1222_24-09-2015","condensed milk"
"2943_20-06-2015","sausage"
"2270_11-08-2015","whole milk"
"3812_21-07-2015","sausage"
"1482_22-11-2015","beverages"
"4720_22-02-2015","beverages"
"1344_04-09-2015","bottled water"
"2397_04-10-2015","newspapers"
"4182_12-05-2015","cleaner"
"4487_10-07-2015","sausage"
"3467_24-12-2015","newspapers"
"2443_15-11-2015","sausage"
"2749_27-01-2015","misc. beverages"
"4389_13-04-2015","white wine"
"1674_04-12-2015","sausage"
"4262_16-10-2015","meat"
"2082_07-04-2015","frankfurter"
"4494_06-01-2015","ice cream"
"2460_28-09-2015","canned beer"
"4509_29-11-2015","tropical fruit"
"2267_03-07-2015","meat"
"4891_05-09-2015","whole milk"
"3962_20-09-2015","sausage"
"4964_18-07-2015","frankfurter"
"2914_30-11-2015","meat"
"2808_05-05-2015","root vegetables"
"1085_15-08-2015","root vegetables"
"3808_18-08-2015","whole milk"
"4149_07-01-2015","citrus fruit"
"2331_05-06-2015","citrus fruit"
"4475_03-04-2015","other vegetables"
"2761_25-04-2015","citrus fruit"
"2620_14-12-2015","sausage"
"3206_13-10-2015","frankfurter"
"1226_13-04-2015","hard cheese"
"1395_07-03-2015","cream cheese "
"2465_07-06-2015","turkey"
